"filename", "language", "TypeScript", "XML", "Vue", "SCSS", "JSON", "Markdown", "JavaScript", "JSON with Comments", "HTML", "YAML", "comment", "blank", "total"
"/Users/trumpael/Documents/Learning/LearnVue/project/src/views/acl/menu/index.vue", "Vue", 0, 0, 116, 0, 0, 0, 0, 0, 0, 0, 3, 9, 128
"/Users/trumpael/Documents/Learning/LearnVue/project/src/views/acl/role/index.vue", "Vue", 0, 0, 248, 0, 0, 0, 0, 0, 0, 0, 4, 3, 255
"/Users/trumpael/Documents/Learning/LearnVue/project/src/views/acl/user/index.vue", "Vue", 0, 0, 360, 0, 0, 0, 0, 0, 0, 0, 7, 5, 372
"/Users/trumpael/Documents/Learning/LearnVue/project/src/views/home/index.vue", "Vue", 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 7, 55
"/Users/trumpael/Documents/Learning/LearnVue/project/src/views/login/index.vue", "Vue", 0, 0, 136, 0, 0, 0, 0, 0, 0, 0, 0, 8, 144
"/Users/trumpael/Documents/Learning/LearnVue/project/src/views/product/attr/index.vue", "Vue", 0, 0, 229, 0, 0, 0, 0, 0, 0, 0, 7, 4, 240
"/Users/trumpael/Documents/Learning/LearnVue/project/src/views/product/sku/index.vue", "Vue", 0, 0, 172, 0, 0, 0, 0, 0, 0, 0, 2, 6, 180
"/Users/trumpael/Documents/Learning/LearnVue/project/src/views/product/sku/table.vue", "Vue", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"/Users/trumpael/Documents/Learning/LearnVue/project/src/views/product/spu/index.vue", "Vue", 0, 0, 165, 0, 0, 0, 0, 0, 0, 0, 8, 4, 177
"/Users/trumpael/Documents/Learning/LearnVue/project/src/views/product/spu/skuForm.vue", "Vue", 0, 0, 185, 0, 0, 0, 0, 0, 0, 0, 1, 5, 191
"/Users/trumpael/Documents/Learning/LearnVue/project/src/views/product/spu/spuForm.vue", "Vue", 0, 0, 297, 0, 0, 0, 0, 0, 0, 0, 7, 2, 306
"/Users/trumpael/Documents/Learning/LearnVue/project/src/views/product/trademark/index.vue", "Vue", 0, 0, 255, 0, 0, 0, 0, 0, 0, 0, 22, 5, 282
"/Users/trumpael/Documents/Learning/LearnVue/project/src/views/screen/components/age/index.vue", "Vue", 0, 0, 88, 0, 0, 0, 0, 0, 0, 0, 1, 7, 96
